Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
E41081010000000000000000000182627;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;11.6;nein;SOP;nicht regelbar;nein;null;21.12.2011;;;;SN;Leipzig;Mölkau;04316;Gutberletstr.;18;;;eeg-kwk.net
E41081010000000000000000000181195;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;68.5;nein;SOP;nicht regelbar;nein;null;28.12.2011;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Fabrikstr.;17;;;eeg-kwk.net
E41081010000000000000000000197950;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;5.28;nein;SOP;regelbar nach § 6 Abs. 2 EEG;nein;null;26.09.2012;;;;SN;Leipzig;Baalsdorf;04316;Kurt-Hänselmann-Weg;7;;;eeg-kwk.net
E41081010000000000000000000158311;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;4.6;nein;SOP;nicht regelbar;nein;null;29.06.2010;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;Alte Dorfstr.;40;;;eeg-kwk.net
E41081010000000000000000000155093;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;5.6;nein;SOP;nicht regelbar;nein;null;28.05.2010;;;;SN;Leipzig;Wiederitzsch;04158;Holunderbogen;2;;;eeg-kwk.net
E41081010000000000000000000155362;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;2.52;nein;SOP;nicht regelbar;nein;null;08.06.2010;;;;SN;Leipzig;Engelsdorf;04319;Topasstr.;6;;;eeg-kwk.net
E41081010000000000000000000156608;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;3.1;nein;SOP;nicht regelbar;nein;null;25.06.2010;;;;SN;Leipzig;Mölkau;04316;Karl-Friedrich-Str.;10;;;eeg-kwk.net
E40770010000010000000004532300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.923;nein;;;nein;null;30.06.2010;;;;SN;Leipzig;;04277;Windscheidstr.;41a;;;eeg-kwk.net
E40770010000010000000004533600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.82;nein;;;nein;null;24.06.2010;;;;SN;Leipzig;;04289;Österreicher Weg;24;;;eeg-kwk.net
E41081010000000000000000000168810;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;4.6;nein;SOP;nicht regelbar;nein;null;05.04.2011;;;;SN;Leipzig;Wiederitzsch;04158;Außenring;20;;;eeg-kwk.net
E41081010000000000000000000177082;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;1.15;nein;SOP;nicht regelbar;nein;null;05.09.2011;;;;SN;Leipzig;Holzhausen;04288;Geranienweg;24;;;eeg-kwk.net
E40770010000010000000005855800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.85;nein;;;nein;null;29.03.2012;;;;SN;Leipzig;;04277;Hänselweg;22;;;eeg-kwk.net
E40770010000010000000005918300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;29.89;nein;;;nein;null;14.06.2012;;;;SN;Leipzig;;04317;Ranstädter Steinweg;15;;;eeg-kwk.net
E40770010000010000000005917200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;29.89;nein;;;nein;null;19.06.2012;;;;SN;Leipzig;;04315;Lukasstr.;12;;;eeg-kwk.net
E40770010000010000000005640100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.05;nein;;;nein;null;30.12.2011;;;;SN;Leipzig;;04349;Hainburger Weg;31;;;eeg-kwk.net
E40770010000010000000004137100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.05;nein;;;nein;null;11.11.2009;;;;SN;Leipzig;;04289;Roseggerstr.;9a;;;eeg-kwk.net
E41081010000000000000000000156477;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;4.6;nein;SOP;nicht regelbar;nein;null;24.06.2010;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Rehbacher Anger;13;;;eeg-kwk.net
E41081010000000000000000000156975;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;3.6;nein;SOP;nicht regelbar;nein;null;28.06.2010;;;;SN;Leipzig;Plaußig-Portitz;04349;Plaußiger Dorfstr.;24;;;eeg-kwk.net
E40770010000010000000002747700001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.98;nein;;;nein;null;24.06.2008;;;;SN;Leipzig;;04207;Trattendorfer Weg;6;;;eeg-kwk.net
E41081010000000000000000000007877;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;2.04;nein;SOP;nicht regelbar;nein;null;10.09.2001;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;Grüner Bogen;5;;;eeg-kwk.net
E41081010000000000000000000181776;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;4.6;nein;SOP;nicht regelbar;nein;null;12.12.2011;;;;SN;Leipzig;Wiederitzsch;04158;Bahnhofstr.;4;;;eeg-kwk.net
E41081010000000000000000000182832;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;7.25;nein;SOP;nicht regelbar;nein;null;18.11.2011;;;;SN;Leipzig;Mölkau;04316;Karlstr.;64;;;eeg-kwk.net
E40770010000010000000005205400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.06;nein;;;nein;null;26.07.2011;;;;SN;Leipzig;;04159;Wolffstsr.;6;;;eeg-kwk.net
E40770010000010000000005308300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;8.64;nein;;;nein;null;29.09.2011;;;;SN;Leipzig;;04249;Seumestr.;44;;;eeg-kwk.net
E40770010000010000000005342800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;12.84;nein;;;nein;null;21.10.2011;;;;SN;Leipzig;;04357;Lermontowstr.;12a;;;eeg-kwk.net
