Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
E40770010000010000000001472000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;9.010;;;;;;05.07.2006;;;;SN;Leipzig;;04207;Miltenberger Str.;11a;;;NetzLeipzig.pdf
E40770010000010000000001501200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.850;;;;;;20.07.2006;;;;SN;Leipzig;;04207;Rapsweg;163;;;NetzLeipzig.pdf
E40770010000010000000001604800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.000;;;;;;30.08.2006;;;;SN;Leipzig;;04207;Bärenfelser Weg;7;;;NetzLeipzig.pdf
E40770010000010000000001605100001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.200;;;;;;04.10.2006;;;;SN;Leipzig;;04289;Rietzschkeweg;15;;;NetzLeipzig.pdf
E40770010000010000000001605200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.500;;;;;;11.10.2006;;;;SN;Leipzig;;04349;Am Wegekreuz;3;;;NetzLeipzig.pdf
E40770010000010000000001728000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.600;;;;;;19.12.2006;;;;SN;Leipzig;;04289;Logauweg;21;;;NetzLeipzig.pdf
E40770010000010000000001763200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;19.800;;;;;;07.12.2006;;;;SN;Leipzig;;04109;Mainzer Str.;2;;;NetzLeipzig.pdf
E40770010000010000000001806200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.500;;;;;;30.10.2006;;;;SN;Leipzig;;04357;Friedrichshafner Str.;172;;;NetzLeipzig.pdf
E40770010000010000000001806300001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.000;;;;;;18.10.2006;;;;SN;Leipzig;;04249;Sanddornweg;22;;;NetzLeipzig.pdf
E40770010000010000000001845000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.160;;;;;;28.12.2006;;;;SN;Leipzig;;04205;Trusetaler Weg;7;;;NetzLeipzig.pdf
E40770010000010000000001845100001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.800;;;;;;20.12.2006;;;;SN;Leipzig;;04357;Gogolstr.;17;;;NetzLeipzig.pdf
E40770010000010000000001846400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;29.400;;;;;;21.12.2006;;;;SN;Leipzig;;04279;Hans-Marschwitza-Str.;28;;;NetzLeipzig.pdf
E40770010000010000000001846900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.700;;;;;;13.12.2006;;;;SN;Leipzig;;04177;Paul-Küster-Str.;2;;;NetzLeipzig.pdf
E40770010000010000000001847000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;19.950;;;;;;11.12.2006;;;;SN;Leipzig;;04289;Strümpelstr.;40;;;NetzLeipzig.pdf
E40770010000010000000001847100001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.000;;;;;;06.12.2006;;;;SN;Leipzig;;04205;Ilmenauer Weg;3;;;NetzLeipzig.pdf
E40770010000010000000001847300001;50Hertz;Netz Leipzig GmbH;;Solar;NS;12.000;;;;;;16.11.2006;;;;SN;Leipzig;;04347;Schönefelder Allee;23a;;;NetzLeipzig.pdf
E40770010000010000000001895000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;8.300;;;;;;29.12.2006;;;;SN;Leipzig;;04105;Blochmann Str.;3;;;NetzLeipzig.pdf
E40770010000010000000000873300002;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.520;;;;;;07.05.2007;;;;SN;Leipzig;;04279;Cröberner Str.;13;;;NetzLeipzig.pdf
E40770010000010000000001806600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.200;;;;;;22.01.2007;;;;SN;Leipzig;;04155;Gohliser Str.;24;;;NetzLeipzig.pdf
E40770010000010000000001806800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.980;;;;;;11.01.2007;;;;SN;Leipzig;;04155;Eisenacher Str.;26;;;NetzLeipzig.pdf
E40770010000010000000001916600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.750;;;;;;18.04.2007;;;;SN;Leipzig;;04349;Tauchaer Str.;84;;;NetzLeipzig.pdf
E40770010000010000000001955900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.150;;;;;;24.04.2007;;;;SN;Leipzig;;04289;Logauweg;2a;;;NetzLeipzig.pdf
E40770010000010000000002044600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.940;;;;;;14.05.2007;;;;SN;Leipzig;;04357;Gogolstr.;54;;;NetzLeipzig.pdf
E40770010000010000000002045600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;29.700;;;;;;25.05.2007;;;;SN;Leipzig;;04107;Beethovenstr.;15;;;NetzLeipzig.pdf
E40770010000010000000002046500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.600;;;;;;22.06.2007;;;;SN;Leipzig;;04279;Watestr.;12;;;NetzLeipzig.pdf
E40770010000010000000002046800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.600;;;;;;22.06.2007;;;;SN;Leipzig;;04279;Watestr.;10;;;NetzLeipzig.pdf
E40770010000010000000002079800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.509;;;;;;18.07.2007;;;;SN;Leipzig;;04205;Liebensteiner Weg;2;;;NetzLeipzig.pdf
E40770010000010000000002090200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.300;;;;;;24.07.2007;;;;SN;Leipzig;;04289;Altdorferweg;14;;;NetzLeipzig.pdf
E40770010000010000000002090300001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.500;;;;;;03.08.2007;;;;SN;Leipzig;;04159;Dantestr.;20;;;NetzLeipzig.pdf
E40770010000010000000002091000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.100;;;;;;20.07.2007;;;;SN;Leipzig;;04357;Leo-Tolstoi-Str.;1;;;NetzLeipzig.pdf
E40770010000010000000002303800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;7.530;;;;;;28.08.2007;;;;SN;Leipzig;;04357;Herzenstr.;83;;;NetzLeipzig.pdf
E40770010000010000000002304500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.200;;;;;;17.09.2007;;;;SN;Leipzig;;04205;Eisenberger Ring;28;;;NetzLeipzig.pdf
E40770010000010000000002352400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.380;;;;;;09.11.2007;;;;SN;Leipzig;;04207;Rapsweg;128;;;NetzLeipzig.pdf
E40770010000010000000002352900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.650;;;;;;26.07.2007;;;;SN;Leipzig;;04159;Hüfnerstr.;2;;;NetzLeipzig.pdf
E40770010000010000000002370800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;7.140;;;;;;23.11.2007;;;;SN;Leipzig;;04277;Meusdorfer Str.;16;;;NetzLeipzig.pdf
E40770010000010000000002377200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.050;;;;;;13.12.2007;;;;SN;Leipzig;;04155;Magdeburger Str.;11;;;NetzLeipzig.pdf
E40770010000010000000002377700001;50Hertz;Netz Leipzig GmbH;;Solar;NS;11.500;;;;;;26.11.2007;;;;SN;Leipzig;;04155;Wolfener Str.;12;;;NetzLeipzig.pdf
E40770010000010000000002423900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;116.000;;;;;;28.12.2007;;;;SN;Leipzig;;04249;Georg-Fischer-Str.;3;;;NetzLeipzig.pdf
E40770010000010000000002445000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.500;;;;;;06.11.2007;;;;SN;Leipzig;;04289;Österreicherweg;21;;;NetzLeipzig.pdf
