Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
E40770010000010000000005280200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.6;;;;nein;null;15.07.2011;;;;SN;Leipzig;;04249;Seumestr.;33b;;;50hertz.com
E40770010000010000000005357400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;12.0;;;;nein;null;04.11.2011;;;;SN;Leipzig;;04207;Miltenberger Str.;6;;;50hertz.com
E40770010000010000000005373300001;50Hertz;Netz Leipzig GmbH;;Solar;NS;29.6;;;;nein;null;18.10.2011;;;;SN;Leipzig;;04179;Lützner Str.;175;;;50hertz.com
E41081010000000000000000000185770;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;59.0;;;;nein;null;01.08.2011;;;;SN;Leipzig;Wiederitzsch;04158;Bahnhofstr.;86;;;50hertz.com
E41081010000000000000000000169616;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3.8;;;;nein;null;31.07.2011;;;;SN;Leipzig;Lützschena-Stahmeln;04159;Hallesche Str.;30;;;50hertz.com
E41081010000000000000000000206858;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;7.0;;;;nein;null;28.03.2013;;;;SN;Leipzig;Liebertwolkwitz;04288;Bornaer Str.;15;;;50hertz.com
E41081010000000000000000000207086;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2.5;;;;nein;null;11.04.2013;;;;SN;Leipzig;Engelsdorf;04319;Max-Reger-Str.;4;;;50hertz.com
E41081010000000000000000000121071;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1.8;;;;nein;null;13.11.2007;;;;SN;Leipzig;Engelsdorf;04319;Smaragdstr.;8;;;50hertz.com
E40770010000010000000002091000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.1;;;;nein;null;20.07.2007;;;;SN;Leipzig;;04357;Leo-Tolstoi-Str.;1;;;50hertz.com
E40770010000010000000004143300001;50Hertz;Netz Leipzig GmbH;;Solar;NS;29.0;;;;nein;null;29.10.2009;;;;SN;Leipzig;;04209;Gärtnerstr.;125;;;50hertz.com
E40770010000010000000004251200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;29.0;;;;nein;null;29.10.2009;;;;SN;Leipzig;;04249;Straße am Park;46;;;50hertz.com
E40770010000010000000003888000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.3;;;;nein;null;05.08.2009;;;;SN;Leipzig;;04349;Krätzbergstr.;40;;;50hertz.com
