Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück
E40770010000010000000002489900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.0;nein;;;nein;null;18.07.2007;;;;SN;Leipzig;;04317;Anna-Kuhnow-Str.;22;;
E41081010000000000000000000123123;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;1.0;nein;SOP;nicht regelbar;nein;null;21.12.2007;;;;SN;Leipzig;Mölkau;04316;Buchenweg;8;;
E40770010000010000000001806600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.2;nein;;;nein;null;22.01.2007;;;;SN;Leipzig;;04155;Gohliser Str.;24;;
E40770010000010000000000873300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.6;nein;;;nein;null;27.07.2005;;;;SN;Leipzig;;04279;Cröberner Str.;13;;
E41081010000000000000000000132732;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;4.0;nein;SOP;nicht regelbar;nein;null;11.12.2008;;;;SN;Leipzig;Althen-Kleinpösna;04319;Dorfstr.;63;;
E40770010000010000000000477400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.2;nein;;;nein;null;13.04.1994;;;;SN;Leipzig;;04289;Anzengruberstr.;4;;
E40770010000010000000003126700001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.2;nein;;;nein;null;15.07.2008;;;;SN;Leipzig;;04318;Julius-Krause-Str.;11;;
E41081010000000000000000000149111;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;MS;24.0;ja;SOL;regelbar nach § 6 Abs. 2 EEG;nein;null;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;
E40770010000010000000001386600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.6;nein;;;nein;null;31.05.2006;;;;SN;Leipzig;;04328;Seegeritzerstr.;15;;
E40770010000010000000003117900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.5;nein;;;nein;null;12.09.2008;;;;SN;Leipzig;;04357;Turgenjewstr.;14;;
E40770010000010000000003334500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;9.0;nein;;;nein;null;17.12.2008;;;;SN;Leipzig;;04279;Ernst-Toller-Str.;6;;
E40770010000010000000005044000001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.0;nein;;;nein;null;11.04.2011;;;;SN;Leipzig;;04249;Grauwackeweg;6;;
E40770010000010000000000717400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.0;nein;;;nein;null;16.03.2005;;;;SN;Leipzig;;04207;Lobensteiner Str.;9;;
E40770010000010000000003866700001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.0;nein;;;nein;null;04.08.2009;;;;SN;Leipzig;;04207;Blaufichtenweg;10;;
E40770010000010000000003760000001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;29.0;nein;;;nein;null;24.04.2009;;;;SN;Leipzig;;04357;Carlebachstr.;1;;
E41081010000000000000000000120587;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;7.0;nein;SOP;nicht regelbar;nein;null;19.10.2007;;;;SN;Leipzig;Althen-Kleinpösna;04319;Althener Anger;12;;
E41081010000000000000000000157418;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;3.0;nein;SOP;nicht regelbar;nein;null;15.06.2010;;;;SN;Leipzig;Wiederitzsch;04158;Melissenweg;7;;
E40770010000010000000001158900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;6.3;nein;;;nein;null;20.10.2005;;;;SN;Leipzig;;04129;An der Querbreite;6;;
E40770010000010000000005939800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.0;nein;;;nein;null;29.08.2012;;;;SN;Leipzig;;04329;Otterstr.;36;;
E41081010000000000000000000009669;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;3.0;nein;SOP;nicht regelbar;nein;null;20.12.2002;;;;SN;Leipzig;Lindenthal;04158;Gustav-Adolf-Allee;9;;
E40770010000010000000006309600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;8.0;;;;nein;null;11.04.2013;;;;SN;Leipzig;;04329;Otterstr.;23;;
E41081010000000000000000000182764;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Wind;HS;2500.0;;;;nein;null;23.05.2013;;;;SN;Leipzig;Plaußig-Portitz;04349;BMW Allee;901;;
E41081010000000000000000000182766;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Wind;HS;2500.0;;;;nein;null;24.05.2013;;;;SN;Leipzig;Plaußig-Portitz;04349;BMW Allee;901;;
E40770010000010000000000477600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.0;nein;;;nein;null;05.05.2000;;;;SN;Leipzig;;04279;Eigenheimstr.;10b;;
E40770010000010000000003839300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.0;nein;;;nein;null;15.07.2009;;;;SN;Leipzig;;04249;Birkenpilzweg;4;;
E40770010000010000000003717400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;6.5;nein;;;nein;null;30.03.2009;;;;SN;Leipzig;;04249;Buttergasse;5;;
E40770010000010000000003767100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.8;nein;;;nein;null;18.05.2009;;;;SN;Leipzig;;04207;Würzburger Str.;22;;
E41081010000000000000000000144668;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;7.0;nein;SOP;nicht regelbar;nein;null;27.11.2009;;;;SN;Leipzig;Lausen-Grünau;04207;Zschochersche Allee;11;;
E41081010000000000000000000181108;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;10.0;nein;SOP;nicht regelbar;nein;null;27.12.2011;;;;SN;Leipzig;Lausen-Grünau;04249;Gerhard-Ellrodt-Str.;155;;
E40770010000010000000005751000001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;29.0;nein;;;nein;null;14.06.2012;;;;SN;Leipzig;;04103;Nürnberger Str.;27a;;
E41081010000000000000000000204800;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;27.2;nein;;regelbar nach § 6 Abs. 2 EEG;nein;null;25.06.2012;;;;SN;Leipzig;Wiederitzsch;04158;Brentanostr.;1;;
E40770010000010000000006599100001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.8;;;;nein;null;08.07.2013;;;;SN;Leipzig;;04249;Gerhard-Ellrodt-Str.;9d;;
E40770010000282929000931880000001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.3;nein;;;nein;null;29.11.2004;;;;SN;Leipzig;;04177;Angerstr.;14;;
E40770010000010000000001847100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.0;nein;;;nein;null;06.12.2006;;;;SN;Leipzig;;04205;Ilmenauer Weg;3;;
E40770010000010000000005890800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.2;nein;;;nein;null;03.08.2012;;;;SN;Leipzig;;04299;Kärrnerweg;14;;
E40770010000010000000005881100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;11.2;nein;;;nein;null;22.06.2012;;;;SN;Leipzig;;04317;Kippenbergstr.;31;;
E40770010000010000000005639100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;6.0;nein;;;nein;null;27.12.2011;;;;SN;Leipzig;;04155;Georg-Schumann-Str.;32;;
E41081010000000000000000000183594;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;4.0;nein;SOP;nicht regelbar;nein;null;21.12.2011;;;;SN;Leipzig;Wiederitzsch;04158;Zur Schule;4;;
E40770010000010000000005673300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.0;nein;;70 % Begrenzung;nein;null;02.04.2012;;;;SN;Leipzig;;04229;Eduardstr.;15;;
E40770010000010000000006443700001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.1;;;;nein;null;07.03.2013;;;;SN;Leipzig;;04103;Slomonstr.  a;24a;;
E40770010000010000000005258500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.7;nein;;;nein;null;11.08.2011;;;;SN;Leipzig;;04349;Tauchaer Str.;52;;
E40770010000010000000000496500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;9.2;nein;;;nein;null;14.03.2001;;;;SN;Leipzig;;04328;Geithainerstr.;60;;
E40770010000010000000000233400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.2;;;;nein;null;28.10.2002;;;;SN;Leipzig;;04249;Lauerscher Weg;;;
E41081010000000000000000000143415;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;12.0;nein;SOP;nicht regelbar;nein;null;21.12.2009;;;;SN;Leipzig;Lindenthal;04158;Parkring;78;;
E41081010000000000000000000190886;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;9.0;nein;SOP;regelbar nach § 6 Abs. 2 EEG;nein;null;30.03.2012;;;;SN;Leipzig;Seehausen;04356;Am Ring;7;;
E40770010000010000000006363400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.0;;;;nein;null;08.05.2013;;;;SN;Leipzig;;04155;Möckernsche Str.;37B;;
E40770010000010000000006407900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.0;;;;nein;null;16.05.2013;;;;SN;Leipzig;;04349;Pöppigstr.;20;;
E41081010000000000000000000168592;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;8.0;nein;SOP;nicht regelbar;nein;null;24.03.2011;;;;SN;Leipzig;Holzhausen;04288;August-Bebel-Siedlung;24;;
E40770010000010000000005461500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;30.0;nein;;;nein;null;22.12.2011;;;;SN;Leipzig;;04315;Klasingstr.;6;;
E40770010000010000000005668800002;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;8.0;nein;;regelbar nach § 6 Abs. 2 EEG;nein;null;26.03.2012;;;;SN;Leipzig;;04349;Plößner Str.;13;;
E40770010000010000000005762000001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.6;nein;;70 % Begrenzung;nein;null;26.03.2012;;;;SN;Leipzig;;04357;Friedrichshafener Str.212;;;
E40770010000010000000005526400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;29.9;nein;;;nein;null;04.04.2011;;;;SN;Leipzig;;04279;Gersterstr.;24;;
E40770010000010000000005526200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;29.9;nein;;;nein;null;19.04.2011;;;;SN;Leipzig;;04103;Sternwartenstr.;51;;
E40770010000010000000004266300002;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;12.0;nein;;;nein;null;14.12.2011;;;;SN;Leipzig;;04249;Weigandtweg;2;;
E41081010000000000000000000204508;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5.7;;;;nein;null;22.02.2013;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Zur Ziegelei;6;;
E41081010000000000000000000196058;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;3.0;nein;SOP;regelbar nach § 6 Abs. 2 EEG;nein;null;24.08.2012;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;Plantagenweg;10;;
E40770010000010000000001386400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.6;nein;;;nein;null;12.06.2006;;;;SN;Leipzig;;04207;Lobensteiner Str.;7;;
E41081010000000000000000000008791;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;1.0;nein;;nicht regelbar;nein;null;19.12.2001;;;;SN;Leipzig;Althen-Kleinpösna;04319;Dorfstr.;63;;
E40770010000010000000000480600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;1.5;nein;;;nein;null;27.06.2001;;;;SN;Leipzig;;04289;Corotweg;16;;
E41081010000000000000000000203017;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1.4;;;;nein;null;16.03.2013;;;;SN;Leipzig;Lindenthal;04158;Lindenthaler Hauptstr.;122;;
E40770010000010000000001846400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;29.4;nein;;;nein;null;21.12.2006;;;;SN;Leipzig;;04279;Hans-Marschwitza-Str.;28;;
E41081010000000000000000000194223;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;4.0;nein;SOP;regelbar nach § 6 Abs. 2 EEG;nein;null;26.06.2012;;;;SN;Leipzig;Lützschena-Stahmeln;04159;Narzissenweg;1;;
E40770010000010000000005135900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.0;nein;;;nein;null;30.06.2011;;;;SN;Leipzig;;04107;Braustr.;15;;
E41081010000000000000000000209311;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3.7;;;;nein;null;27.05.2013;;;;SN;Leipzig;Lützschena-Stahmeln;04159;Auenblickstr.;40;;
E40770010000010000000001806200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.5;nein;;;nein;null;30.10.2006;;;;SN;Leipzig;;04357;Friedrichshafner Str.;172;;
E40770010000010000000000495400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.0;nein;;;nein;null;16.04.2004;;;;SN;Leipzig;;04299;Kolmstr.;97;;
E40770010000010000000002304500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.2;nein;;;nein;null;17.09.2007;;;;SN;Leipzig;;04205;Eisenberger Ring;28;;
E40770010000010000000005977200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.1;nein;;;nein;null;04.07.2012;;;;SN;Leipzig;;04159;Reuningsstr.;4;;
E41081010000000000000000000144335;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;153.0;ja;SOL;regelbar nach § 6 Abs. 1 EEG;nein;null;25.07.2011;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Gutenbergstr.;10;;
E40770010000010000000002489400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.4;nein;;;nein;null;23.11.2007;;;;SN;Leipzig;;04315;Meißner Str.;28;;
E41081010000000000000000000116738;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;5.0;nein;SOP;nicht regelbar;nein;null;11.05.2007;;;;SN;Leipzig;Baalsdorf;04316;Zum Alten Wasserwerk;1;;
E40770010000010000000000241100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.1;nein;;;nein;null;21.06.2004;;;;SN;Leipzig;;04249;Dieskaustr.;290;;
E40770010000010000000005283200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;93.0;nein;;regelbar nach § 6 Abs. 1 EEG;nein;null;27.06.2011;;;;SN;Leipzig;;04275;Altenburger Str.;9;;
E40770010000010000000005258100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;6.0;nein;;;nein;null;29.06.2011;;;;SN;Leipzig;;04329;Falterstr.;47;;
E40770010000010000000005306600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;8.0;nein;;;nein;null;11.10.2011;;;;SN;Leipzig;;04105;Ehrensteinstr.;8;;
E40770010000010000000005107100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;29.0;nein;;;nein;null;09.03.2011;;;;SN;Leipzig;;04207;Berkaer Weg;16;;
E40770010000010000000005134400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.5;nein;;;nein;null;22.06.2011;;;;SN;Leipzig;;04289;Pahlenweg;15;;
E40770010000010000000006202500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.6;;;;nein;null;31.01.2013;;;;SN;Leipzig;;04207;Rapsweg;128;;
E41081010000000000000000000208109;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5.8;;;;nein;null;22.04.2013;;;;SN;Leipzig;Holzhausen;04288;Mölkauer Str.;42;;
E40770010000010000000003038800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.0;nein;;;nein;null;06.08.2008;;;;SN;Leipzig;;04289;Erich-Mühsam-Weg;16;;
E40770010000010000000003179500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.5;nein;;;nein;null;09.09.2008;;;;SN;Leipzig;;04349;Tauchaer Str.;50;;
E41081010000000000000000000124862;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;9.0;nein;SOP;nicht regelbar;nein;null;31.03.2008;;;;SN;Leipzig;Mölkau;04316;Eibenweg;28;;
E40770010000010000000005930900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;8.0;nein;;;nein;null;30.04.2012;;;;SN;Leipzig;;04347;Taubestr.;52;;
E40770010000010000000006128100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.2;nein;;;nein;null;30.11.2012;;;;SN;Leipzig;;04159;Bucksdorffstr.;19;;
E41081010000000000000000000193566;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;10.0;nein;SOP;regelbar nach § 6 Abs. 2 EEG;nein;null;08.08.2012;;;;SN;Leipzig;Baalsdorf;04316;Brandiser Str.;51;;
E40770010000010000000006192000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;9.1;;;;nein;null;21.01.2013;;;;SN;Leipzig;;04279;Vollhardtstr.;2b;;
E40770010000010000000002682100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.0;nein;;;nein;null;02.04.2008;;;;SN;Leipzig;;04177;Lützner Str.;27;;
E41081010000000000000000000150978;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;MS;400.0;ja;SOL;regelbar nach § 6 Abs. 1 EEG;nein;null;29.06.2010;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Wittestr.;7;;
E41081010000000000000000000208085;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5.0;;;;nein;null;18.04.2013;;;;SN;Leipzig;Engelsdorf;04319;Arnoldplatz;32;;
E41081010000000000000000000209198;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3.4;;;;nein;null;11.06.2013;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;Bienitzstr.;13;;
E41081010000000000000000000203185;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5.5;;;;nein;null;22.12.2012;;;;SN;Leipzig;Holzhausen;04288;Arthur-Polenz-Str.;33;;
E40770010000010000000002445100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.9;nein;;;nein;null;19.12.2007;;;;SN;Leipzig;;04249;Dieskaustr.;358;;
E40770010000010000000001452600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.1;nein;;;nein;null;27.06.2006;;;;SN;Leipzig;;04157;Heinrich-Mann-Str.;46;;
E40770010000010000000004614700001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;8.8;nein;;;nein;null;03.09.2010;;;;SN;Leipzig;;04249;Fuchspfad;1;;
E40770010000010000000004863100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;55.0;nein;;;nein;null;30.12.2010;;;;SN;Leipzig;;04249;Gerhard-Ellrodt-Str.;26;;
E41081010000000000000000000170883;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;MS;150.0;ja;SOL;regelbar nach § 6 Abs. 1 EEG;nein;null;06.07.2011;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Fabrikstr.;19;;
E40770010000010000000000487300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;1.6;nein;;;nein;null;29.11.2002;;;;SN;Leipzig;;04229;Schleußiger Weg;8;;
E41081010000000000000000000160022;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;72.0;nein;SOP;regelbar nach § 6 Abs. 2 EEG;nein;null;27.09.2010;;;;SN;Leipzig;Mölkau;04316;Gutberletstr.;18;;
E41081010000000000000000000183602;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;8.0;nein;SOP;nicht regelbar;nein;null;27.11.2011;;;;SN;Leipzig;Wiederitzsch;04158;Arno-Bruchardt-Str.;23;;
E40770010000010000000006192600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;18.0;nein;;;nein;null;23.08.2012;;;;SN;Leipzig;;04249;Seumestr.;46;;
E40770010000010000000006333800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;29.0;nein;;;nein;null;30.10.2012;;;;SN;Leipzig;;04103;Sternwartenstr.;2;;
E40770010000010000000005205900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;8.0;nein;;;nein;null;28.07.2011;;;;SN;Leipzig;;04229;Rochlitzstr.36;;;
E40770010000010000000006537500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;16.0;;;;nein;null;24.07.2013;;;;SN;Leipzig;;04249;Wingertgasse;3a;;
E41081010000000000000000000188402;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;10.0;nein;SOP;regelbar nach § 6 Abs. 2 EEG;nein;null;21.03.2012;;;;SN;Leipzig;Mölkau;04316;Hermann-Sander-Str.;2;;
E41081010000000000000000000191512;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;8.0;nein;SOP;regelbar nach § 6 Abs. 2 EEG;nein;null;29.03.2012;;;;SN;Leipzig;Liebertwolkwitz;04288;Am Schaukelgraben;11;;
E40770010000010000000004659800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.3;nein;;;nein;null;07.09.2010;;;;SN;Leipzig;;04209;Alte Salzstr.;133;;
