Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück
E41081010000000000000000000209612;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2.1;;;;nein;null;16.09.2013;;;;SN;Leipzig;Mölkau;04316;Germannstr.;10;;
E41081010000000000000000000162141;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;3.0;nein;SOP;nicht regelbar;nein;null;24.09.2010;;;;SN;Leipzig;Holzhausen;04288;Liebertwolkwitzer Str.;52;;
E41081010000000000000000000191040;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;6.0;nein;SOP;regelbar nach § 6 Abs. 2 EEG;nein;null;30.03.2012;;;;SN;Leipzig;Holzhausen;04288;Richard-Springer-Weg;22;;
E40770010000010000000006443200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.5;;;;nein;null;20.06.2013;;;;SN;Leipzig;;04205;Eisenberger Ring;38;;
E40770010000010000000006170100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.0;nein;;;nein;null;21.12.2012;;;;SN;Leipzig;;04349;Altes Dorf;8;;
E40770010000010000000005914900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.9;nein;;;nein;null;24.07.2012;;;;SN;Leipzig;;04159;Elsterblick;19;;
E40770010000010000000006085100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;30.0;nein;;;nein;null;28.12.2010;;;;SN;Leipzig;;04129;Dessauer Str.;8;;
E40770010000010000000000479200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.0;nein;;;nein;null;16.05.2001;;;;SN;Leipzig;;04249;Seumestr.;34c;;
E41081010000000000000000000030256;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;75.0;nein;SOP;nicht regelbar;nein;null;08.06.2006;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;Zum Bahnhof;20;;
E40770010000010000000003836300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.5;nein;;;nein;null;14.07.2009;;;;SN;Leipzig;;04105;Humboldtstr.;2a;;
E41081010000000000000000000205954;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4.6;;;;nein;null;27.03.2013;;;;SN;Leipzig;Lindenthal;04158;Verlängerte Wilhelmstr.;26;;
E41081010000000000000000000211119;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3.2;;;;nein;null;19.07.2013;;;;SN;Leipzig;Zentrum-Süd;04107;Münzgasse;2;;
E40770010000010000000002046500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.6;nein;;;nein;null;22.06.2007;;;;SN;Leipzig;;04279;Watestr.;12;;
E40770010000010000000004150600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.6;nein;;;nein;null;29.10.2009;;;;SN;Leipzig;;04205;Illmenauer Weg;36;;
E40770010000010000000004017000001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.5;nein;;;nein;null;13.10.2009;;;;SN;Leipzig;;04207;Kulmbacher Str.;4;;
