Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
E41081010000000000000000000130849;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;07.11.2008;;;;SN;Leipzig;Liebertwolkwitz;04288;Walter-Rathenau-Str.;14;;;MitNetz.pdf
E41081010000000000000000000130860;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;21.10.2008;;;;SN;Leipzig;Holzhausen;04288;Ziegelstr.;19;;;MitNetz.pdf
E41081010000000000000000000131496;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;17.12.2008;;;;SN;Leipzig;Baalsdorf;04316;Zum Alten Seebad;28;;;MitNetz.pdf
E41081010000000000000000000131571;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5;;SOP;;;;05.11.2008;;;;SN;Leipzig;Wiederitzsch;04158;Karl-Marx-Str.;49;;;MitNetz.pdf
E41081010000000000000000000132258;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5;;SOP;;;;02.12.2008;;;;SN;Leipzig;Knautkleeberg-Knauthain;04249;Erikenstr.;43;;;MitNetz.pdf
E41081010000000000000000000132270;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;8;;SOP;;;;02.12.2008;;;;SN;Leipzig;Knautkleeberg-Knauthain;04249;Erikenstr.;42;;;MitNetz.pdf
E41081010000000000000000000132903;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;08.12.2008;;;;SN;Leipzig;Liebertwolkwitz;04288;Carl-Munde-Str.;4;;;MitNetz.pdf
E41081010000000000000000000133067;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;10.12.2008;;;;SN;Leipzig;Holzhausen;04288;Baumschulenweg;17;;;MitNetz.pdf
E41081010000000000000000000133326;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;15.12.2008;;;;SN;Leipzig;Wiederitzsch;04158;Mistelbogen;1;;;MitNetz.pdf
E41081010000000000000000000133668;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5;;SOP;;;;17.12.2008;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Mühlenweg;1;;;MitNetz.pdf
